J,Kt,Kq,Eta
1.15,0.2920,0.0795,0.672
1.2,0.274,0.0756,0.693
1.25,0.256,0.0714,0.713
1.3,0.2385,0.0672,0.734
1.35,0.221,0.0631,0.753
1.4,0.2035,0.0589,0.77
1.45,0.1845,0.0544,0.782
1.5,0.164,0.0499,0.785
1.55,0.142,0.045,0.778
1.6,0.119,0.04,0.757
1.65,0.095,0.0348,0.716
1.7,0.702,0.0292,0.651
1.75,0.450,0.023,0.545
1.8,0.0195,0.0165,0.339
