J,Kt,Kq,Eta
0.7,0.104,0.0202,0.574
0.75,0.1032,0.0204,0.603
0.80,0.1,0.0205,0.62
0.85,0.09,0.0197,0.618
0.9,0.07,0.017,0.589
0.95,0.036,0.0113,0.482
1,0.004,0.0053,0.12
