J,Kt,Kq,Eta
1.3,0.378,0.123,0.636
1.35,0.3582,0.1179,0.653
1.4,0.34,0.1129,0.671
1.45,0.3235,0.1084,0.689
1.5,0.307,0.104,0.705
1.55,0.291,0.0996,0.721
1.6,0.2745,0.095,0.736
1.65,0.258,0.0905,0.759
1.7,0.242,0.0862,0.76
1.75,0.225,0.0815,0.769
1.8,0.207,0.0766,0.775
1.85,0.1885,0.0716,0.775
1.9,0.17,0.0667,0.771
1.95,0.15,0.0613,0.76
2,0.13,0.0558,0.742
2.05,0.109,0.05,0.712
2.1,0.087,0.0439,0.663
2.15,0.064,0.0373,0.588
2.2,0.0415,0.0305,0.477
2.25,0.0182,0.0224,0.291
