J,Kt,Kq,Eta
1.15,0.2858,0.0785,0.666
1.2,0.268,0.0744,0.688
1.25,0.25,0.0701,0.709
1.3,0.2325,0.0659,0.73
1.35,0.2155,0.0618,0.749
1.4,0.1975,0.0576,0.764
1.45,0.1780,0.053,0.775
1.5,0.1578,0.0484,0.778
1.55,0.1362,0.0436,0.771
1.6,0.1135,0.0385,0.750
1.65,0.0898,0.0332,0.710
1.7,0.065,0.0274,0.642
1.75,0.0395,0.0209,0.525
1.8,0.0125,0.0142,0.253
