J,Kt,Kq,Eta
0.65,0.1275,0.0272,0.484
0.7,0.128,0.0273,0.523
0.75,0.13,0.0278,0.559
0.8,0.1362,0.0291,0.595
0.85,0.148,0.0319,0.627
0.9,0.1608,0.0353,0.653
0.95,0.171,0.0384,0.674
1,0.174,0.0402,0.69
1.05,0.167,0.0399,0.699
1.1,0.15,0.0376,0.699
1.15,0.124,0.0332,0.684
1.2,0.089,0.0252,0.64
1.25,0.048,0.0168,0.513
1.3,0.0012,0.0083,0.03
