J,Kt,Kq,Eta
0.7,0.261,0.0496,0.586
0.75,0.2355,0.046,0.611
0.8,0.2105,0.0424,0.632
0.85,0.186,0.039,0.646
0.9,0.162,0.0355,0.654
0.95,0.138,0.0322,0.648
1,0.113,0.0289,0.622
1.05,0.0862,0.0253,0.569
1.1,0.058,0.0215,0.472
1.15,0.0265,0.173,0.28
