J,Kt,Kq,Eta
0.80,0.218,0.0421,0.659
0.85,0.1979,0.0391,0.684
0.9,0.1765,0.0361,0.701
0.95,0.154,0.0328,0.709
1,0.1315,0.0297,0.705
1.05,0.108,0.0264,0.685
1.1,0.0845,0.023,0.642
1.15,0.059,0.0194,0.556
1.2,0.033,0.0158,0.4
1.25,0.005,0.0129,0.077
