J,Kt,Kq,Eta
1,0.1718,0.0596,0.459
1.05,0.177,0.0612,0.483
1.1,0.182,0.0629,0.507
1.15,0.1875,0.0646,0.531
1.2,0.1935,0.0666,0.555
1.25,0.2,0.0686,0.58
1.3,0.2075,0.0712,0.603
1.35,0.2158,0.074,0.627
1.4,0.2245,0.077,0.65
1.45,0.235,0.0808,0.671
1.5,0.2448,0.0846,0.691
1.55,0.2565,0.0893,0.709
1.6,0.2622,0.0919,0.727
1.65,0.2502,0.0887,0.741
1.7,0.2342,0.0843,0.752
1.75,0.2178,0.0799,0.759
1.8,0.2,0.0752,0.762
1.85,0.1815,0.0702,0.761
1.9,0.162,0.065,0.754
1.95,0.1415,0.0594,0.739
2,0.1205,0.0537,0.715
2.05,0.0982,0.0473,0.677
2.1,0.0755,0.041,0.616
2.15,0.051,0.0337,0.518
2.2,0.0255,0.0257,0.348
