J,Kt,Kq,Eta
0.75,0.211,0.0382,0.659
0.8,0.1925,0.0357,0.0687
0.85,0.1715,0.0325,0.713
0.90,0.151,0.0293,0.737
0.95,0.1305,0.0262,0.752
1,0.1080,0.0228,0.753
1.05,0.0832,0.0192,0.722
1.1,0.056,0.0153,0.642
1.15,0.027,0.0109,0.454
