J,Kt,Kq,Eta
1.20,0.4410,0.1450,0.581
1.25,0.4608,0.1510,0.607
1.30,0.4460,0.1479,0.624
1.35,0.4185,0.1398,0.643
1.40,0.3930,0.1321,0.663
1.45,0.3683,0.1250,0.680
1.50,0.3450,0.1185,0.695
1.55,0.3208,0.1117,0.709
1.60,0.2980,0.1052,0.722
1.65,0.2755,0.0994,0.728
1.70,0.2520,0.0933,0.731
1.75,0.2305,0.0875,0.734
1.80,0.2090,0.0818,0.732
1.85,0.1875,0.0760,0.726
1.90,0.1670,0.0705,0.717
1.95,0.1475,0.0651,0.703
2.0,0.1275,0.0595,0.682
2.05,0.1075,0.0540,0.650
2.10,0.0863,0.0477,0.605
2.15,0.0640,0.0409,0.536
2.20,0.0400,0.0330,0.425
2.25,0.0135,0.0237,0.204
