J,Kt,Kq,Eta
1.00,0.2380,0.0814,0.466
1.05,0.2422,0.0828,0.489
1.10,0.2475,0.0845,0.513
1.15,0.2540,0.0864,0.538
1.20,0.2630,0.0890,0.564
1.25,0.2755,0.0930,0.589
1.30,0.2900,0.0985,0.609
1.35,0.3075,0.1050,0.629
1.40,0.3270,0.1120,0.651
1.45,0.3385,0.1162,0.672
1.50,0.3300,0.1150,0.685
1.55,0.3128,0.1103,0.700
1.60,0.2920,0.1050,0.708
1.65,0.2710,0.0992,0.717
1.70,0.2480,0.0930,0.722
1.75,0.2265,0.0873,0.723
1.80,0.2050,0.0816,0.720
1.85,0.1840,0.0759,0.714
1.90,0.1630,0.0700,0.704
1.95,0.1420,0.0641,0.687
2.0,0.1200,0.0580,0.659
2.05,0.0968,0.0513,0.616
2.10,0.0712,0.0436,0.546
2.15,0.0420,0.0348,0.413
