J,Kt,Kq,Eta
1.1,0.203,0.0697,0.51
1.15,0.2045,0.0701,0.534
1.2,0.2085,0.0716,0.556
1.25,0.215,0.0737,0.58
1.3,0.222,0.0763,0.602
1.35,0.231,0.0796,0.624
1.4,0.2415,0.0836,0.644
1.45,0.2522,0.0878,0.663
1.5,0.265,0.0932,0.679
1.55,0.268,0.0953,0.694
1.6,0.262,0.0944,0.707
1.65,0.2485,0.0908,0.719
1.7,0.234,0.087,0.728
1.75,0.216,0.0818,0.736
1.8,0.196,0.0761,0.738
1.85,0.175,0.0701,0.735
1.9,0.1525,0.0637,0.724
1.95,0.128,0.0567,0.701
2,0.1022,0.0489,0.666
2.05,0.0755,0.0408,0.604
2.1,0.0465,0.0312,0.498
2.15,0.0185,0.022,0.288
