J,Kt,Kq,Eta
0.70,0.2000,0.0543,0.410
0.75,0.2165,0.0587,0.440
0.80,0.2340,0.6635,0.469
0.85,0.2525,0.0686,0.498
0.90,0.2730,0.0740,0.528
0.95,0.2925,0.0795,0.556
1.00,0.3110,0.0846,0.585
1.05,0.3280,0.0895,0.612
1.10,0.3380,0.0930,0.636
1.15,0.3278,0.0913,0.657
1.20,0.3070,0.0870,0.674
1.25,0.2828,0.0815,0.690
1.30,0.2592,0.0763,0.703
1.35,0.2355,0.0710,0.713
1.40,0.2120,0.0660,0.716
1.45,0.1900,0.0613,0.716
1.50,0.1678,0.0564,0.710
1.55,0.1450,0.0512,0.698
1.60,0.1208,0.0456,0.675
1.65,0.0942,0.0393,0.629
1.70,0.0665,0.0330,0.545
1.75,0.0390,0.0262,0.415
1.80,0.0095,0.0190,0.143
