J,Kt,Kq,Eta
1.1,0.196,0.0673,0.51
1.15,0.193,0.0663,0.533
1.2,0.191,0.0657,0.555
1.25,0.1905,0.0656,0.578
1.3,0.1915,0.0661,0.6
1.35,0.195,0.0675,0.621
1.4,0.2,0.0697,0.64
1.45,0.2065,0.0723,0.659
1.5,0.2145,0.0759,0.675
1.55,0.2245,0.0804,0.689
1.6,0.229,0.0832,0.701
1.65,0.226,0.083,0.715
1.7,0.218,0.0814,0.725
1.75,0.205,0.078,0.732
1.8,0.1882,0.0735,0.734
1.85,0.1685,0.0684,0.726
1.9,0.145,0.0619,0.709
1.95,0.1195,0.0547,0.678
2,0.091,0.0463,0.626
2.05,0.0608,0.0361,0.549
2.1,0.027,0.0255,0.354
