J,Kt,Kq,Eta
0.65,0.1015,0.0222,0.473
0.7,0.099,0.0216,0.511
0.75,0.097,0.0211,0.55
0.8,0.0985,0.0215,0.585
0.85,0.1045,0.0227,0.62
0.9,0.1105,0.0244,0.648
0.95,0.114,0.0256,0.673
1,0.1175,0.0270,0.693
1.05,0.1125,0.0268,0.702
1.1,0.097,0.0243,0.7
1.15,0.073,0.0199,0.67
1.2,0.0444,0.0147,0.577
1.25,0.0116,0.0077,0.3
