J,Kt,Kq,Eta
0.9,0.253,0.0539,0.672
0.95,0.232,0.0508,0.69
1,0.211,0.0476,0.706
1.05,0.1895,0.0441,0.718
1.1,0.1675,0.0405,0.724
1.15,0.145,0.0368,0.721
1.2,0.1215,0.0330,0.703
1.25,0.097,0.0289,0.668
1.3,0.0715,0.0246,0.602
1.35,0.044,0.0198,0.477
1.4,0.016,0.0150,0.238
