J,Kt,Kq,Eta
0.90,0.2580,0.0872,0.424
0.95,0.2730,0.0917,0.450
1.00,0.2900,0.0971,0.476
1.05,0.3085,0.1032,0.500
1.10,0.3278,0.1095,0.524
1.15,0.3485,0.1159,0.550
1.20,0.3680,0.1225,0.574
1.25,0.3850,0.1280,0.598
1.30,0.3965,0.1326,0.619
1.35,0.4010,0.1343,0.642
1.40,0.3890,0.1318,0.658
1.45,0.3665,0.1253,0.675
1.50,0.3430,0.1186,0.691
1.55,0.3195,0.1119,0.704
1.60,0.2960,0.1052,0.717
1.65,0.2732,0.0994,0.722
1.70,0.2500,0.0930,0.727
1.75,0.2285,0.0875,0.727
1.80,0.2075,0.0819,0.726
1.85,0.1860,0.0759,0.722
1.90,0.1655,0.0702,0.713
1.95,0.1450,0.0645,0.698
2.0,0.1260,0.0590,0.680
2.05,0.1058,0.0535,0.645
2.10,0.0840,0.0470,0.598
2.15,0.0610,0.0400,0.522
2.20,0.0355,0.0315,0.395
2.25,0.0042,0.0190,0.079
