J,Kt,Kq,Eta
1,0.158,0.0554,0.454
1.05,0.156,0.0551,0.473
1.1,0.154,0.0548,0.492
1.15,0.1525,0.0543,0.514
1.2,0.1522,0.0542,0.536
1.25,0.1535,0.0544,0.561
1.3,0.157,0.0555,0.586
1.35,0.1622,0.0569,0.613
1.4,0.1692,0.0591,0.638
1.45,0.1765,0.0617,0.66
1.5,0.184,0.0647,0.679
1.55,0.1925,0.0681,0.697
1.6,0.2,0.0715,0.713
1.65,0.203,0.0734,0.726
1.7,0.2,0.0734,0.737
1.75,0.1895,0.0709,0.745
1.8,0.1745,0.0669,0.748
1.85,0.1575,0.0623,0.744
1.9,0.138,0.057,0.733
1.95,0.117,0.0509,0.713
2,0.0935,0.0438,0.68
2.05,0.0695,0.0366,0.62
2.1,0.044,0.0287,0.512
2.15,0.0172,0.0184,0.319
