J,Kt,Kq,Eta
0.55,0.114,0.0213,0.468
0.6,0.1185,0.0221,0.511
0.65,0.1255,0.0235,0.553
0.7,0.142,0.0268,0.591
0.75,0.155,0.0296,0.626
0.80,0.164,0.032,0.654
0.85,0.1639,0.0329,0.674
0.9,0.153,0.032,0.685
0.95,0.133,0.0295,0.681
1,0.106,0.0257,0.657
1.05,0.0705,0.0202,0.584
1.1,0.0305,0.0138,0.388
