J,Kt,Kq,Eta
1.2,0.288,0.0957,0.575
1.25,0.301,0.1,0.599
1.3,0.3135,0.1042,0.623
1.35,0.325,0.1086,0.643
1.4,0.333,0.1123,0.661
1.45,0.3278,0.1116,0.678
1.5,0.3115,0.1077,0.691
1.55,0.293,0.1028,0.703
1.6,0.275,0.098,0.715
1.65,0.2575,0.0931,0.726
1.7,0.2398,0.0883,0.735
1.75,0.2216,0.0832,0.742
1.8,0.2028,0.0779,0.746
1.85,0.183,0.072,0.748
1.9,0.1622,0.0662,0.741
1.95,0.14,0.0592,0.726
2,0.1172,0.0536,0.696
2.05,0.092,0.0466,0.644
2.1,0.0665,0.0396,0.561
2.15,0.0402,0.0316,0.436
2.2,0.014,0.022,0.223
