J,Kt,Kq,Eta
1.1,0.2225,0.0758,0.514
1.15,0.2315,0.0787,0.538
1.2,0.242,0.0821,0.563
1.25,0.2535,0.0859,0.587
1.3,0.265,0.0899,0.61
1.35,0.276,0.0938,0.632
1.4,0.2865,0.0979,0.652
1.45,0.295,0.1015,0.671
1.5,0.297,0.1034,0.686
1.55,0.288,0.1015,0.7
1.6,0.272,0.0972,0.713
1.65,0.2545,0.0924,0.723
1.7,0.2368,0.0875,0.733
1.75,0.2185,0.0825,0.738
1.8,0.1995,0.0771,0.742
1.85,0.1795,0.0714,0.74
1.9,0.159,0.0657,0.733
1.95,0.1362,0.0593,0.713
2,0.1132,0.0529,0.681
2.05,0.0882,0.0459,0.628
2.1,0.062,0.0381,0.544
2.15,0.0345,0.0301,0.393
2.2,0.007,0.0202,0.121
