J,Kt,Kq,Eta
1.15,0.3225,0.0898,0.657
1.2,0.3,0.0846,0.677
1.25,0.2775,0.0794,0.695
1.3,0.2556,0.0744,0.711
1.35,0.234,0.0694,0.725
1.4,0.2132,0.0646,0.735
1.45,0.192,0.0599,0.74
1.5,0.171,0.0555,0.736
1.55,0.1495,0.0509,0.724
1.6,0.127,0.0461,0.702
1.65,0.1038,0.0408,0.668
1.7,0.0788,0.0347,0.614
1.75,0.0525,0.028,0.523
1.8,0.0235,0.0206,0.327
