J,Kt,Kq,Eta
1.35,0.3845,0.1281,0.645
1.4,0.361,0.1212,0.664
1.45,0.338,0.1147,0.68
1.5,0.3178,0.1093,0.694
1.55,0.298,0.1042,0.706
1.6,0.2785,0.0989,0.717
1.65,0.2595,0.0936,0.728
1.7,0.241,0.0884,0.738
1.75,0.223,0.0834,0.745
1.8,0.2041,0.0781,0.749
1.85,0.1855,0.0726,0.752
1.9,0.1662,0.0671,0.750
1.95,0.146,0.0611,0.741
2,0.125,0.0553,0.72
2.05,0.102,0.0487,0.683
2.1,0.0783,0.0422,0.62
2.15,0.053,0.0349,0.52
2.2,0.026,0.0272,0.334
