J,Kt,Kq,Eta
0.9,0.192,0.053,0.519
0.95,0.192,0.0533,0.545
1,0.1928,0.0538,0.571
1.05,0.1948,0.0547,0.595
1.1,0.1998,0.0565,0.619
1.15,0.2115,0.0604,0.641
1.2,0.232,0.0671,0.66
1.25,0.247,0.0726,0.677
1.3,0.243,0.0728,0.691
1.35,0.2278,0.07,0.699
1.4,0.208,0.0658,0.704
1.45,0.186,0.0609,0.705
1.5,0.1625,0.0555,0.699
1.55,0.1385,0.0501,0.683
1.6,0.11,0.0429,0.653
1.65,0.0782,0.035,0.587
1.7,0.0425,0.0265,0.434
1.75,0.0038,0.0174,0.061
