J,Kt,Kq,Eta
1.10,0.2330,0.0800,0.510
1.15,0.2330,0.0799,0.534
1.20,0.2338,0.0800,0.558
1.25,0.2358,0.0806,0.582
1.30,0.2390,0.0818,0.605
1.35,0.2465,0.0849,0.624
1.40,0.2600,0.0899,0.645
1.45,0.2745,0.0957,0.662
1.50,0.2880,0.1016,0.677
1.55,0.2960,0.1055,0.692
1.60,0.2840,0.1030,0.702
1.65,0.2642,0.0980,0.708
1.70,0.2440,0.0927,0.712
1.75,0.2232,0.0872,0.713
1.80,0.2030,0.0816,0.713
1.85,0.1815,0.0760,0.703
1.90,0.1602,0.0700,0.692
1.95,0.1365,0.0637,0.665
2.0,0.1120,0.0565,0.631
2.05,0.0845,0.0488,0.565
2.10,0.0545,0.0398,0.458
2.15,0.0160,0.0303,0.181
