J,Kt,Kq,Eta
0.8,0.0895,0.0197,0.58
0.85,0.086,0.0190,0.612
0.9,0.083,0.0186,0.639
0.95,0.0833,0.0191,0.661
1,0.083,0.0196,0.674
1.05,0.0735,0.0183,0.67
1.1,0.053,0.0151,0.613
1.15,0.0238,0.0099,0.44
