J,Kt,Kq,Eta
0.9,0.2335,0.0488,0.686
0.95,0.211,0.0449,0.71
1,0.1905,0.0415,0.731
1.05,0.1720,0.0382,0.752
1.1,0.1535,0.0348,0.772
1.15,0.131,0.0307,0.781
1.2,0.107,0.0265,0.771
1.25,0.0805,0.0218,0.735
1.3,0.053,0.0169,0.649
1.35,0.024,0.0117,0.441
