J,Kt,Kq,Eta
0.70,0.1880,0.0511,0.410
0.75,0.1975,0.0537,0.439
0.80,0.2075,0.0566,0.467
0.85,0.2190,0.0597,0.496
0.90,0.2332,0.0635,0.526
0.95,0.2485,0.0678,0.554
1.00,0.2665,0.0730,0.581
1.05,0.2840,0.0784,0.605
1.10,0.3010,0.0835,0.631
1.15,0.3130,0.0877,0.653
1.20,0.2560,0.0860,0.673
1.25,0.2792,0.0808,0.687
1.30,0.2560,0.0756,0.701
1.35,0.2335,0.0706,0.711
1.40,0.2120,0.0661,0.715
1.45,0.1890,0.0610,0.715
1.50,0.1665,0.0561,0.708
1.55,0.1438,0.0510,0.695
1.60,0.1183,0.0450,0.670
1.65,0.0908,0.0384,0.621
1.70,0.0615,0.0311,0.535
1.75,0.0325,0.0234,0.387
1.80,0.0025,0.0152,0.047
