J,Kt,Kq,Eta
0.80,0.2162,0.0418,0.659
0.85,0.195,0.0387,0.682
0.9,0.1732,0.0356,0.698
0.95,0.151,0.0324,0.704
1,0.1282,0.0293,0.697
1.05,0.1038,0.0259,0.671
1.1,0.079,0.0224,0.617
1.15,0.0525,0.0188,0.51
1.2,0.0238,0.015,0.304
