J,Kt,Kq,Eta
1.00,0.42,0.1151,0.581
1.05,0.39,0.1079,0.604
1.10,0.36,0.1009,0.625
1.15,0.3315,0.0938,0.647
1.20,0.305,0.0875,0.666
1.25,0.2785,0.0814,0.681
1.30,0.254,0.0757,0.694
1.35,0.23,0.0705,0.701
1.40,0.208,0.0656,0.706
1.45,0.1875,0.0611,0.708
1.50,0.168,0.0569,0.705
1.55,0.147,0.052,0.697
1.60,0.125,0.0468,0.68
1.65,0.1008,0.0411,0.644
1.70,0.0760,0.0355,0.579
1.75,0.0518,0.0298,0.484
1.80,0.026,0.024,0.301
