J,Kt,Kq,Eta
0.65,0.1075,0.0206,0.541
0.7,0.106,0.0204,0.579
0.75,0.1065,0.0207,0.614
0.80,0.109,0.0217,0.64
0.85,0.106,0.022,0.653
0.9,0.0915,0.0203,0.645
0.95,0.0635,0.016,0.6
1,0.025,0.0091,0.439
