J,Kt,Kq,Eta
0.75,0.213,0.0385,0.661
0.8,0.1935,0.0357,0.689
0.85,0.174,0.328,0.717
0.90,0.154,0.0298,0.741
0.95,0.134,0.0267,0.758
1,0.1125,0.0236,0.758
1.05,0.0895,0.0203,0.737
1.1,0.064,0.0165,0.068
1.15,0.035,0.012,0.535
1.2,0.003,0.0082,0.07
