J,Kt,Kq,Eta
0.8,0.1950,0.0531,0.468
0.85,0.2000,0.0544,0.497
0.9,0.2055,0.0560,0.525
0.95,0.2130,0.0583,0.552
1,0.2230,0.0614,0.578
1.05,0.2370,0.0657,0.603
1.1,0.2550,0.0712,0.627
1.15,0.2770,0.0780,0.650
1.2,0.2900,0.0830,0.667
1.25,0.2770,0.0803,0.686
1.3,0.2550,0.0755,0.699
1.35,0.2322,0.0704,0.709
1.4,0.2100,0.0657,0.712
1.45,0.1885,0.0610,0.713
1.5,0.1652,0.0559,0.705
1.55,0.1400,0.0500,0.691
1.6,0.1132,0.0435,0.663
1.65,0.0850,0.0368,0.606
1.7,0.0555,0.0300,0.501
1.75,0.0250,0.0221,0.315
