J,Kt,Kq,Eta
0.80,0.1375,0.0397,0.441
0.85,0.1405,0.0402,0.473
0.90,0.1450,0.0413,0.503
0.95,0.1520,0.0430,0.535
1.00,0.1575,0.0444,0.565
1.05,0.1625,0.0458,0.593
1.1,0.1675,0.0472,0.621
1.15,0.1740,0.0492,0.648
1.20,0.1810,0.0514,0.673
1.25,0.1910,0.0545,0.697
1.30,0.2035,0.0585,0.720
1.35,0.2070,0.0601,0.740
1.40,0.1910,0.0564,0.755
1.45,0.1740,0.0524,0.766
1.50,0.1520,0.0472,0.769
1.55,0.1305,0.0425,0.758
1.60,0.1065,0.0371,0.730
1.65,0.079,0.0308,0.673
1.7,0.0498,0.0239,0.563
1.75,0.0199,0.0168,0.33
