J,Kt,Kq,Eta
0.90,0.2370,0.0805,0.422
0.95,0.2450,0.0825,0.449
1.00,0.2532,0.0848,0.475
1.05,0.2628,0.0877,0.501
1.10,0.2735,0.0912,0.525
1.15,0.2865,0.0954,0.550
1.20,0.3020,0.01005,0.574
1.25,0.3198,0.01067,0.596
1.30,0.3360,0.1126,0.618
1.35,0.3505,0.1181,0.638
1.40,0.3620,0.1228,0.657
1.45,0.3605,0.1235,0.674
1.50,0.3412,0.1183,0.689
1.55,0.3180,0.1117,0.702
1.60,0.2942,0.1051,0.713
1.65,0.2722,0.0993,0.720
1.70,0.2495,0.0933,0.724
1.75,0.2280,0.0875,0.726
1.80,0.2070,0.0819,0.724
1.85,0.1858,0.0760,0.720
1.90,0.1645,0.0700,0.711
1.95,0.1442,0.0643,0.696
2.0,0.1245,0.0590,0.672
2.05,0.1045,0.0531,0.642
2.10,0.0820,0.0464,0.591
2.15,0.0585,0.0393,0.509
2.20,0.0310,0.0300,0.362
