J,Kt,Kq,Eta
0.8,0.307,0.0657,0.595
0.85,0.277,0.0605,0.62
0.9,0.25,0.0561,0.639
0.95,0.225,0.0517,0.658
1,0.202,0.048,0.67
1.05,0.1875,0.044,0.678
1.1,0.155,0.04,0.679
1.15,0.1305,0.0356,0.671
1.2,0.107,0.0314,0.65
1.25,0.081,0.0269,0.6
1.3,0.054,0.0226,0.494
1.35,0.026,0.0176,0.317
