J,Kt,Kq,Eta
1.1,0.22,0.0755,0.51
1.15,0.227,0.0778,0.534
1.2,0.2362,0.0806,0.56
1.25,0.247,0.0841,0.584
1.3,0.2595,0.0883,0.608
1.35,0.2735,0.0931,0.631
1.4,0.288,0.0982,0.654
1.45,0.3008,0.1028,0.675
1.5,0.299,0.1026,0.696
1.55,0.2865,0.099,0.714
1.6,0.2715,0.0945,0.732
1.65,0.2542,0.0894,0.747
1.7,0.2378,0.0848,0.759
1.75,0.2208,0.0802,0.767
1.8,0.2030,0.0755,0.771
1.85,0.185,0.0707,0.77
1.9,0.166,0.0657,0.764
1.95,0.146,0.0603,0.751
2,0.1255,0.0547,0.73
2.05,0.104,0.0488,0.695
2.1,0.081,0.0426,0.636
2.15,0.057,0.0358,0.545
2.2,0.032,0.028,0.4
2.25,0.0075,0.0168,0.16
