coef,r,s,t,u,v
-0.000591412,0,0,0,0,0
0.00696898,0,0,1,0,0
-0.0000666654,0,0,6,0,1
0.0160818,0,0,0,2,0
-0.000938091,1,0,1,0,0
-0.00059593,1,0,2,0,0
0.0000782099,2,0,2,0,0
0.0000052199,1,2,0,1,1
-0.00000088528,2,1,1,1,1
0.0000230171,1,0,6,0,1
-0.00000184341,2,0,6,0,1
-0.00400252,1,0,0,2,0
0.000220915,2,0,0,2,0
